,HomePlanet,CryoSleep,Destination,Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Solo,TotalSpent,NoSpendings,Cabin_deck,Cabin_side,Cabin_region1,Cabin_region2,Cabin_region3,Cabin_region4,Cabin_region5,Cabin_region6,Cabin_region7,First_name,Last_name,FamilySize
7978,Europa,False,55 Cancri e,28.0,0.0,101.0,0.0,0.0,12143.0,True,12244.0,0,E,S,0,1,0,0,0,0,0,Mesatik,Plattering,5
31,Mars,False,TRAPPIST-1e,43.0,1125.0,0.0,136.0,48.0,0.0,True,1309.0,0,F,P,1,0,0,0,0,0,0,Ceros,Mare,5
5412,Europa,False,TRAPPIST-1e,33.0,2233.0,6408.0,93.0991452991453,23.0,273.0,False,9030.099145299146,0,B,P,1,0,0,0,0,0,0,Genif,Ousious,11
8589,Europa,True,TRAPPIST-1e,41.0,0.0,0.0,0.0,0.0,0.0,False,0.0,1,C,S,0,1,0,0,0,0,0,Algiedi,Cassiding,4
7053,Earth,False,TRAPPIST-1e,6.0,0.0,0.0,0.0,0.0,0.0,False,0.0,1,E,S,0,1,0,0,0,0,0,Joela,Santin,7
8547,Earth,False,PSO J318.5-22,26.0,0.0,749.0,20.0,0.0,0.0,True,769.0,0,G,S,0,0,0,0,1,0,0,Yola,Pittler,11
6428,Earth,False,TRAPPIST-1e,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,1,F,P,0,0,0,0,1,0,0,Helean,Booneid,10
418,Europa,True,TRAPPIST-1e,42.0,0.0,0.0,0.0,0.0,0.0,False,0.0,1,B,S,1,0,0,0,0,0,0,Etair,Fushausive,4
3140,Mars,True,TRAPPIST-1e,39.0,0.0,0.0,0.0,0.0,0.0,True,0.0,1,F,S,0,0,1,0,0,0,0,Stech,Mane,4
6553,Mars,True,TRAPPIST-1e,29.0,0.0,0.0,0.0,0.0,0.0,True,0.0,1,F,S,0,0,0,0,1,0,0,Chrets,Conca,3
5714,Europa,False,PSO J318.5-22,29.0,3.0,1849.0,0.0,3104.0,1652.0,False,6608.0,0,C,P,1,0,0,0,0,0,0,Mino,Prefule,8
6904,Europa,False,TRAPPIST-1e,33.0,0.0,0.0,0.0,1040.373368146214,0.0,True,1040.373368146214,0,C,P,1,0,0,0,0,0,0,Aldun,Venticable,0
7123,Earth,False,55 Cancri e,15.0,0.0,714.0,0.0,0.0,0.0,False,714.0,0,G,P,0,0,0,0,1,0,0,Aude,Hersons,6
984,Earth,False,TRAPPIST-1e,16.0,507.0,0.0,0.0,0.0,122.25698324022346,True,629.2569832402235,0,F,S,1,0,0,0,0,0,0,Wena,Beachez,7
2892,Europa,False,55 Cancri e,31.0,139.0,4018.0,13.0,232.0,1140.0,False,5542.0,0,B,S,1,0,0,0,0,0,0,Zedares,Foraud,7
143,Earth,False,TRAPPIST-1e,57.0,50.0,1688.0,0.0,119.70238095238095,135.0,False,1992.702380952381,0,G,S,1,0,0,0,0,0,0,Fany,Hutchinton,4
6439,Earth,False,TRAPPIST-1e,40.0,3.0,0.0,61.0,0.0,742.0,True,806.0,0,F,P,0,0,0,0,1,0,0,Therly,Jacostarks,4
4411,Mars,False,TRAPPIST-1e,37.0,1144.0,4.0,34.0,0.0,0.0,False,1182.0,0,D,P,1,0,0,0,0,0,0,Meass,Colte,5
5751,Mars,False,TRAPPIST-1e,41.0,239.0,1.0,1048.0,0.0,0.0,False,1288.0,0,F,S,0,0,0,1,0,0,0,Berk,Wooes,3
800,Earth,True,TRAPPIST-1e,13.0,0.0,0.0,0.0,0.0,0.0,True,0.0,1,G,S,1,0,0,0,0,0,0,Tera,Simstravery,6
6645,Europa,False,TRAPPIST-1e,27.0,0.0,2897.0,659.0,485.0,11.0,False,4052.0,0,E,P,0,1,0,0,0,0,0,Luxons,Bradissive,2
1388,Europa,True,55 Cancri e,22.0,0.0,0.0,0.0,0.0,0.0,False,0.0,1,B,S,1,0,0,0,0,0,0,Rotanin,Wassird,7
4237,Mars,False,TRAPPIST-1e,25.0,1340.0,0.0,8.0,0.0,0.0,False,1348.0,0,F,P,0,0,0,1,0,0,0,Cornys,Pepie,8
6192,Earth,False,TRAPPIST-1e,34.0,228.0,0.0,150.0,15.0,1.0,True,394.0,0,G,P,0,0,0,1,0,0,0,Bretty,Pottonalden,5
2038,Europa,False,TRAPPIST-1e,31.0,46.0,1935.0,0.0,995.0,1254.0,True,4230.0,0,B,P,1,0,0,0,0,0,0,Unukath,Tiouserful,0
2580,Mars,False,TRAPPIST-1e,27.0,1502.0,1.0,0.0,0.0,0.0,True,1503.0,0,F,S,0,1,0,0,0,0,0,Callix,Curie,3
1448,Europa,False,PSO J318.5-22,25.0,0.0,7069.0,0.0,45.0,282.0,False,7396.0,0,A,S,1,0,0,0,0,0,0,Almino,Slable,5
6101,Earth,False,TRAPPIST-1e,19.0,0.0,0.0,0.0,0.0,0.0,False,0.0,1,G,P,0,0,0,1,0,0,0,Sandie,Domington,15
6320,Europa,True,TRAPPIST-1e,35.0,0.0,0.0,0.0,0.0,0.0,True,0.0,1,D,S,1,0,0,0,0,0,0,Errak,Ourcul,0
8154,Europa,False,55 Cancri e,54.0,0.0,1821.0,2370.0,949.0,46.0,False,5186.0,0,A,S,1,0,0,0,0,0,0,Astrak,Alcemblery,5
5340,Europa,False,TRAPPIST-1e,33.0,0.0,4372.0,0.0,4103.0,0.0,True,8475.0,0,C,S,1,0,0,0,0,0,0,Asellum,Amblereld,2
8355,Earth,True,PSO J318.5-22,24.0,0.0,0.0,0.0,0.0,0.0,True,0.0,1,G,S,0,0,0,0,1,0,0,Jillie,Sweett,8
2929,Europa,True,55 Cancri e,38.0,0.0,0.0,0.0,0.0,0.0,True,0.0,1,B,P,1,0,0,0,0,0,0,Altardr,Mosteraked,11
7648,Earth,False,TRAPPIST-1e,18.0,1157.0,28.0,50.0,0.0,0.0,True,1235.0,0,F,P,0,0,0,0,0,1,0,Marina,Pooles,7
3042,Earth,True,TRAPPIST-1e,16.0,0.0,0.0,0.0,0.0,0.0,True,0.0,1,G,P,0,1,0,0,0,0,0,Jaye,Whitez,7
3375,Earth,False,PSO J318.5-22,61.0,0.0,1.0,276.0,410.0,54.0,True,741.0,0,F,P,0,0,1,0,0,0,0,Darry,Micknightt,4
4309,Earth,False,TRAPPIST-1e,30.0,1.0,797.0,0.0,10.0,0.0,True,808.0,0,G,S,0,0,1,0,0,0,0,Toddie,Pugherman,4
2294,Mars,False,TRAPPIST-1e,42.0,999.0,0.0,49.0,0.0,11.0,True,1059.0,0,D,S,1,0,0,0,0,0,0,Grake,Datty,3
2693,Earth,False,TRAPPIST-1e,44.0,0.0,0.0,744.0,62.0,3.0,True,809.0,0,G,S,0,1,0,0,0,0,0,Gabrie,Reenez,7
5900,Europa,True,TRAPPIST-1e,37.0,0.0,0.0,0.0,0.0,0.0,False,0.0,1,B,S,1,0,0,0,0,0,0,Errak,Pokeck,2
6586,Europa,True,55 Cancri e,19.0,0.0,0.0,0.0,0.0,0.0,False,0.0,1,B,S,1,0,0,0,0,0,0,Alurops,Pringry,2
3583,Earth,False,PSO J318.5-22,18.0,16.0,6.0,735.0,0.0,0.0,True,757.0,0,F,S,0,0,1,0,0,0,0,Jeane,Herreras,6
7705,Mars,False,TRAPPIST-1e,43.0,1054.0,109.0,576.0,645.0,0.0,False,2384.0,0,D,P,1,0,0,0,0,0,0,Muld,Sidie,5
287,Europa,False,TRAPPIST-1e,24.0,0.0,2628.0,77.04310344827586,170.0,0.0,False,2875.043103448276,0,B,S,1,0,0,0,0,0,0,Hallah,Sorbitter,6
3519,Mars,True,TRAPPIST-1e,46.0,0.0,0.0,0.0,0.0,0.0,False,0.0,1,F,S,0,0,1,0,0,0,0,Colax,Killé,3
5858,Europa,False,55 Cancri e,34.0,0.0,1174.0,0.0,130.0,1141.0,True,2445.0,0,A,P,1,0,0,0,0,0,0,Kaboson,Sempribly,3
5292,Europa,False,TRAPPIST-1e,48.0,0.0,1755.6256323777402,0.0,2851.0,1478.0,False,6084.62563237774,0,C,P,1,0,0,0,0,0,0,Majoram,Tachor,2
5626,Mars,False,TRAPPIST-1e,25.0,1442.0,0.0,0.0,0.0,13.0,False,1455.0,0,F,P,0,0,0,0,1,0,0,Squars,Knike,6
912,Earth,False,TRAPPIST-1e,23.0,0.0,0.0,490.0,0.0,319.0,False,809.0,0,G,S,1,0,0,0,0,0,0,Morrie,Sweekstarks,8
2029,Mars,False,TRAPPIST-1e,20.0,212.0,0.0,991.0,0.0,13.0,False,1216.0,0,F,S,0,1,0,0,0,0,0,Gorice,Lacke,5
7469,Earth,True,55 Cancri e,21.0,0.0,0.0,0.0,0.0,0.0,True,0.0,1,G,P,0,0,0,0,1,0,0,Becca,Dorsenry,2
2847,Europa,False,TRAPPIST-1e,26.0,0.0,1644.0262172284645,8.0,21.0,6023.0,False,7696.026217228465,0,B,S,1,0,0,0,0,0,0,Alballa,Cracionfic,2
2569,Europa,True,55 Cancri e,36.0,0.0,0.0,0.0,0.0,0.0,True,0.0,1,B,P,1,0,0,0,0,0,0,Beneba,Glousspidy,0
6672,Mars,False,TRAPPIST-1e,28.0,1216.0,0.0,30.0,43.0,0.0,True,1289.0,0,F,S,0,0,0,0,1,0,0,Walmon,Curle,7
4740,Europa,True,TRAPPIST-1e,14.0,0.0,0.0,0.0,0.0,0.0,False,0.0,1,C,P,1,0,0,0,0,0,0,Instan,Honatte,6
5623,Mars,False,TRAPPIST-1e,27.0,441.0,0.0,397.0,471.0,0.0,False,1309.0,0,F,S,0,0,0,1,0,0,0,Harz,Quart,9
6190,Europa,False,TRAPPIST-1e,37.0,0.0,4616.0,339.0,2008.0,175.0,True,7138.0,0,C,S,1,0,0,0,0,0,0,Taura,Pumpeshaft,3
6694,Earth,False,TRAPPIST-1e,16.0,4.0,1666.0,0.0,35.0,40.0,True,1745.0,0,G,S,0,0,0,1,0,0,0,Celina,Kellson,4
559,Mars,False,TRAPPIST-1e,23.0,2648.0,0.0,1092.0,0.0,0.0,False,3740.0,0,D,P,1,0,0,0,0,0,0,Flams,Fone,10
138,Earth,True,55 Cancri e,38.0,0.0,0.0,0.0,0.0,0.0,True,0.0,1,G,P,1,0,0,0,0,0,0,Shanie,Simson,6
7158,Europa,True,55 Cancri e,44.0,0.0,0.0,0.0,0.0,0.0,True,0.0,1,B,S,1,0,0,0,0,0,0,Wimps,Invebodene,9
1687,Europa,True,TRAPPIST-1e,26.0,0.0,0.0,0.0,0.0,0.0,True,0.0,1,C,S,1,0,0,0,0,0,0,Alcyon,Hariourcal,0
8572,Earth,False,TRAPPIST-1e,36.0,0.0,281.0,0.0,0.0,632.0,False,913.0,0,G,S,0,0,0,0,1,0,0,Nelly,Navages,10
3822,Europa,False,TRAPPIST-1e,26.0,0.0,1549.0,0.0,0.0,766.0,True,2315.0,0,D,S,1,0,0,0,0,0,0,Arix,Rentruing,0
137,Earth,True,55 Cancri e,23.0,0.0,0.0,0.0,0.0,0.0,True,0.0,1,G,S,1,0,0,0,0,0,0,Billya,Hubbarrison,9
5210,Earth,True,TRAPPIST-1e,37.0,0.0,0.0,0.0,0.0,0.0,True,0.0,1,G,P,0,0,1,0,0,0,0,Jerek,Mathison,4
6178,Earth,False,TRAPPIST-1e,21.0,0.0,20.0,1540.0,80.0,512.0,False,2152.0,0,F,S,0,0,0,0,1,0,0,Neila,Cardners,8
3433,Mars,True,TRAPPIST-1e,27.0,0.0,0.0,0.0,0.0,0.0,False,0.0,1,F,P,0,0,1,0,0,0,0,Ots,Coflé,4
4578,Earth,False,55 Cancri e,22.0,126.0,3.0,0.0,1305.0,0.0,True,1434.0,0,G,P,0,0,1,0,0,0,0,Yvonna,Alberts,6
3803,Mars,True,TRAPPIST-1e,1.0,0.0,0.0,0.0,0.0,0.0,False,0.0,1,F,S,0,0,1,0,0,0,0,Unknown,Kashe,7
2682,Earth,False,PSO J318.5-22,57.0,0.0,1431.0,0.0,30.0,337.0,True,1798.0,0,G,S,0,1,0,0,0,0,0,Jonard,Leblanchez,4
4734,Earth,True,55 Cancri e,15.0,0.0,0.0,0.0,0.0,0.0,True,0.0,1,G,P,0,0,1,0,0,0,0,Idave,Simmonders,5
2640,Earth,True,55 Cancri e,3.0,0.0,0.0,0.0,0.0,0.0,False,0.0,1,G,S,0,1,0,0,0,0,0,Rayne,Harverez,7
1517,Europa,False,TRAPPIST-1e,49.0,0.0,3750.0,0.0,2.0,341.0,False,4093.0,0,E,P,1,0,0,0,0,0,0,Furuson,Entenedy,2
6204,Europa,False,TRAPPIST-1e,29.0,19.0,4900.0,6.0,6324.0,2056.0,False,13305.0,0,B,S,1,0,0,0,0,0,0,Aldeba,Ainserfle,11
3180,Europa,False,TRAPPIST-1e,27.0,0.0,18481.0,0.0,2.0,3875.0,False,22358.0,0,C,P,1,0,0,0,0,0,0,Terope,Cumpting,2
2846,Europa,True,TRAPPIST-1e,16.0,0.0,0.0,0.0,0.0,0.0,False,0.0,1,B,S,1,0,0,0,0,0,0,Saiphda,Cracionfic,2
863,Europa,False,55 Cancri e,30.0,0.0,7992.0,0.0,507.0,25.0,False,8524.0,0,B,S,1,0,0,0,0,0,0,Minchib,Asticit,3
5275,Earth,False,TRAPPIST-1e,31.0,0.0,0.0,0.0,0.0,0.0,True,0.0,1,G,P,0,0,1,0,0,0,0,Nelsie,Stanters,0
1783,Europa,False,55 Cancri e,39.0,0.0,10153.0,1.0,78.0,5063.0,False,15295.0,0,C,S,1,0,0,0,0,0,0,Zaurion,Gocent,6
760,Earth,False,TRAPPIST-1e,29.0,0.0,0.0,0.0,0.0,645.0,True,645.0,0,F,S,1,0,0,0,0,0,0,Hery,Noelan,3
8189,Earth,False,TRAPPIST-1e,23.0,0.0,0.0,9.0,69.0,1157.0,False,1235.0,0,F,P,0,0,0,0,0,0,1,Min,Sellentry,5
4527,Europa,False,55 Cancri e,49.0,0.0,7762.0,2.0,0.0,98.0,True,7862.0,0,C,S,1,0,0,0,0,0,0,Ruchbia,Exhaftearm,0
8133,Earth,False,TRAPPIST-1e,23.0,0.0,0.0,0.0,595.0,0.0,True,595.0,0,F,S,0,0,0,0,0,1,0,Eillis,Moodmandez,3
4638,Earth,False,TRAPPIST-1e,19.0,0.0,2077.0,0.0,0.0,0.0,True,2077.0,0,F,P,0,0,0,1,0,0,0,Lonnis,Bryangton,2
5381,Europa,False,TRAPPIST-1e,35.0,247.0,436.0,459.0,1.0,1984.0,True,3127.0,0,A,P,1,0,0,0,0,0,0,Sterfik,Gealloyalt,5
7443,Mars,True,TRAPPIST-1e,34.0,0.0,0.0,0.0,0.0,0.0,True,0.0,1,E,S,0,1,0,0,0,0,0,Suls,Frazo,3
6583,Europa,True,TRAPPIST-1e,13.0,0.0,0.0,0.0,0.0,0.0,False,0.0,1,B,S,1,0,0,0,0,0,0,Becruxa,Coudered,4
2613,Earth,False,TRAPPIST-1e,22.0,0.0,0.0,0.0,0.0,1345.0,True,1345.0,0,F,P,0,1,0,0,0,0,0,Violan,Burchanez,5
2101,Earth,False,TRAPPIST-1e,26.0,0.0,10.0,0.0,702.0,1.0,True,713.0,0,F,P,0,1,0,0,0,0,0,Beula,Mcfaddenson,4
6314,Europa,True,TRAPPIST-1e,32.0,0.0,0.0,0.0,0.0,0.0,False,0.0,1,E,P,0,1,0,0,0,0,0,Meron,Slowatic,2
7002,Mars,False,TRAPPIST-1e,24.0,578.42194092827,0.0,299.0,814.0,0.0,True,1691.42194092827,0,F,P,0,0,0,0,0,1,0,Chees,Oncy,2
6884,Europa,True,55 Cancri e,35.0,0.0,0.0,0.0,0.0,0.0,False,0.0,1,D,P,1,0,0,0,0,0,0,Unknown,Bruthydre,6
7933,Europa,False,55 Cancri e,31.0,8243.0,280.0,0.0,3220.0,2285.0,True,14028.0,0,C,P,1,0,0,0,0,0,0,Brafirk,Aloubtled,5
6184,Mars,False,TRAPPIST-1e,31.0,127.0,76.0,976.0,118.0,0.0,True,1297.0,0,E,S,0,1,0,0,0,0,0,Neysma,Bun,6
4999,Mars,False,TRAPPIST-1e,17.0,13.0,0.0,565.0,367.0,1.0,True,946.0,0,E,P,0,1,0,0,0,0,0,Rahars,Resty,3
7035,Earth,False,TRAPPIST-1e,53.0,2.0,794.0,425.0,0.0,397.0,True,1618.0,0,E,P,0,1,0,0,0,0,0,Lynnon,Sellahaney,7
7591,Europa,False,TRAPPIST-1e,24.0,0.0,809.0,0.0,4928.0,143.0,False,5880.0,0,B,S,0,1,0,0,0,0,0,Caiamin,Pernised,5
900,Earth,True,TRAPPIST-1e,19.0,0.0,0.0,0.0,0.0,0.0,True,0.0,1,G,P,1,0,0,0,0,0,0,Tamie,Blace,3
7605,Earth,True,55 Cancri e,13.0,0.0,0.0,0.0,0.0,0.0,False,0.0,1,F,P,0,0,0,0,0,1,0,Eline,Casonston,18
393,Europa,False,TRAPPIST-1e,47.0,4.0,891.0,0.0,2962.0,3656.0,False,7513.0,0,B,P,1,0,0,0,0,0,0,Naosura,Mormonized,5
3432,Mars,True,TRAPPIST-1e,32.0,0.0,0.0,0.0,0.0,0.0,True,0.0,1,E,P,1,0,0,0,0,0,0,Tors,Ramad,8
1995,Mars,True,TRAPPIST-1e,16.0,0.0,0.0,0.0,0.0,0.0,False,0.0,1,F,S,0,1,0,0,0,0,0,Elfs,Chrie,3
3895,Mars,False,TRAPPIST-1e,19.0,154.0,170.0,2074.0,0.0,0.0,False,2398.0,0,D,P,1,0,0,0,0,0,0,Corsh,Flell,8
7323,Europa,True,55 Cancri e,44.0,0.0,0.0,0.0,0.0,0.0,False,0.0,1,B,S,0,1,0,0,0,0,0,Taurah,Kiling,11
3690,Earth,True,TRAPPIST-1e,21.0,0.0,0.0,0.0,0.0,0.0,True,0.0,1,G,S,0,0,1,0,0,0,0,Estina,Chanan,11
8248,Earth,False,PSO J318.5-22,41.0,413.0,0.0,0.0,7.0,347.0,True,767.0,0,G,S,0,0,0,0,1,0,0,Unknown,Unknown,0
7623,Earth,False,TRAPPIST-1e,18.0,0.0,17.0,5.0,0.0,712.0,True,734.0,0,F,S,0,0,0,0,0,1,0,Sergia,Vines,4
7680,Europa,False,TRAPPIST-1e,4.0,0.0,0.0,0.0,0.0,0.0,False,0.0,1,C,S,0,1,0,0,0,0,0,Ainons,Unkcatted,9
831,Europa,False,TRAPPIST-1e,48.0,0.0,0.0,0.0,0.0,0.0,False,0.0,1,C,P,1,0,0,0,0,0,0,Marfak,Polksy,2
908,Earth,False,TRAPPIST-1e,51.0,136.82558139534885,242.41176470588235,4.0,0.0,0.0,False,383.2373461012312,0,G,P,1,0,0,0,0,0,0,Joyton,Hewson,7
7278,Mars,True,TRAPPIST-1e,18.0,0.0,0.0,0.0,0.0,0.0,True,0.0,1,F,S,0,0,0,0,1,0,0,Tous,Wate,7
420,Earth,False,TRAPPIST-1e,55.0,210.0,185.0,188.0,59.0,73.0,True,715.0,0,F,S,1,0,0,0,0,0,0,Lulah,Hinetthews,7
2760,Earth,True,TRAPPIST-1e,43.0,0.0,0.0,0.0,0.0,0.0,True,0.0,1,G,P,0,1,0,0,0,0,0,Evendy,Sosalinson,4
8206,Earth,False,TRAPPIST-1e,17.0,0.0,810.0,66.0,0.0,0.0,False,876.0,0,F,P,0,0,0,0,0,0,1,Raque,Waderoachez,7
6233,Earth,False,PSO J318.5-22,23.0,0.0,67.0,661.0,0.0,0.0,False,728.0,0,F,P,0,0,0,0,1,0,0,Keitha,Matts,9
8166,Earth,True,55 Cancri e,18.0,0.0,0.0,0.0,0.0,0.0,False,0.0,1,G,P,0,0,0,0,1,0,0,Weslie,Fulloydez,14
194,Earth,False,TRAPPIST-1e,38.0,1517.0,0.0,0.0,27.0,0.0,True,1544.0,0,F,P,1,0,0,0,0,0,0,Prilly,Shieldson,9
290,Earth,False,TRAPPIST-1e,21.0,0.0,5.0,3.0,0.0,166.4797843665768,False,174.4797843665768,0,G,S,1,0,0,0,0,0,0,Garley,Bellarkerd,5
3209,Earth,True,TRAPPIST-1e,21.0,0.0,0.0,0.0,0.0,0.0,True,0.0,1,G,P,0,1,0,0,0,0,0,Brance,Byerson,3
7630,Earth,False,TRAPPIST-1e,42.0,18.0,5.0,470.0,356.0,57.0,False,906.0,0,G,P,0,0,0,0,1,0,0,Jeroy,Pittler,11
4231,Mars,True,TRAPPIST-1e,26.0,0.0,0.0,0.0,0.0,0.0,True,0.0,1,E,P,1,0,0,0,0,0,0,Triple,Jamai,8
7872,Europa,True,TRAPPIST-1e,41.0,0.0,0.0,0.0,0.0,0.0,False,0.0,1,B,S,0,1,0,0,0,0,0,Aldus,Stradick,3
6697,Earth,False,TRAPPIST-1e,22.0,0.0,125.0,0.0,663.0,0.0,False,788.0,0,E,S,0,1,0,0,0,0,0,Unknown,Kellynn,5
6588,Europa,False,TRAPPIST-1e,37.0,26.0,2898.0,9.0,0.0,40.0,False,2973.0,0,D,P,1,0,0,0,0,0,0,Vegas,Lendly,3
3900,Mars,True,TRAPPIST-1e,20.0,0.0,0.0,0.0,0.0,0.0,False,0.0,1,F,P,0,0,1,0,0,0,0,Lidex,Opité,2
2731,Earth,True,PSO J318.5-22,48.0,0.0,0.0,0.0,0.0,0.0,True,0.0,1,G,S,0,1,0,0,0,0,0,Alancy,Mcbritts,3
1921,Earth,True,TRAPPIST-1e,52.0,0.0,0.0,0.0,0.0,0.0,False,0.0,1,G,P,0,1,0,0,0,0,0,Marynk,Hanghanson,5
1141,Earth,True,PSO J318.5-22,53.0,0.0,0.0,0.0,0.0,0.0,False,0.0,1,G,S,1,0,0,0,0,0,0,Andyn,Alvasquez,7
963,Earth,False,55 Cancri e,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,1,G,P,1,0,0,0,0,0,0,Bethew,Chavezalez,8
5461,Earth,True,TRAPPIST-1e,12.0,0.0,0.0,0.0,0.0,0.0,True,0.0,1,G,P,0,0,0,1,0,0,0,Joandy,Chapmaney,5
4276,Earth,False,TRAPPIST-1e,21.0,29.0,27.0,47.0,694.0,11.0,True,808.0,0,G,S,0,0,1,0,0,0,0,Claine,Wiggs,5
6318,Earth,False,TRAPPIST-1e,60.0,707.0,24.0,0.0,0.0,170.0,False,901.0,0,F,P,0,0,0,0,1,0,0,Derry,Gouldensen,12
6239,Earth,False,TRAPPIST-1e,24.0,2.0,0.0,0.0,52.0,638.0,True,692.0,0,F,P,0,0,0,0,1,0,0,Debora,Farrez,3
3700,Earth,True,TRAPPIST-1e,3.0,0.0,0.0,0.0,0.0,0.0,False,0.0,1,G,S,0,0,1,0,0,0,0,Janee,Davens,3
3864,Mars,True,TRAPPIST-1e,29.0,0.0,0.0,0.0,0.0,0.0,True,0.0,1,E,P,1,0,0,0,0,0,0,Heales,Buncy,3
2812,Earth,True,TRAPPIST-1e,4.0,0.0,0.0,0.0,0.0,0.0,False,0.0,1,G,S,0,1,0,0,0,0,0,Loresa,Wolfernan,8
4117,Earth,False,TRAPPIST-1e,23.0,0.0,0.0,206.0,681.0,31.0,True,918.0,0,F,P,0,0,0,1,0,0,0,Fayel,Mcfarley,5
5741,Mars,True,TRAPPIST-1e,36.0,0.0,0.0,0.0,0.0,0.0,True,0.0,1,F,P,0,0,0,0,1,0,0,Cants,Bra,3
2829,Earth,False,TRAPPIST-1e,13.0,578.0,77.0,0.0,306.0,5.0,True,966.0,0,F,S,0,1,0,0,0,0,0,Celis,Bootez,6
2212,Mars,False,TRAPPIST-1e,22.0,579.0,0.0,267.0,0.0,108.0,True,954.0,0,E,P,1,0,0,0,0,0,0,Prow,Potte,7
2378,Mars,False,TRAPPIST-1e,3.0,0.0,0.0,0.0,0.0,0.0,False,0.0,1,F,P,0,1,0,0,0,0,0,Chios,Katte,7
7039,Mars,True,TRAPPIST-1e,5.0,0.0,0.0,0.0,0.0,0.0,False,0.0,1,F,P,0,0,0,0,0,1,0,Bonutz,Cola,3
4433,Mars,False,TRAPPIST-1e,65.0,1420.0,0.0,84.0,0.0,0.0,True,1504.0,0,F,P,0,0,0,1,0,0,0,Duckes,Datte,5
159,Earth,False,TRAPPIST-1e,20.0,0.0,0.0,3.0,299.0,92.0,True,394.0,0,G,P,1,0,0,0,0,0,0,Nancis,Brighttt,6
